db_index,method,ratio,result,time,error,timeperformance,lam_1,lam_01,lam_001
0,random,0.3,1199.0,9.66,1081.06133196,0.345,1081.40633196,1081.09583196,1081.06478196
0,random,0.4,9040.0,10.05,31920.4953345,0.358928571429,31920.8542631,31920.5312274,31920.4989238
0,random,0.5,42976.0,10.58,16346.506647,0.377857142857,16346.8845041,16346.5444327,16346.5104255
0,random,0.6,155488.0,12.72,80003.7060989,0.454285714286,80004.1603846,80003.7515274,80003.7106417
0,random,0.7,452883.0,13.29,34998.1226202,0.474642857143,34998.5972631,34998.1700845,34998.1273666
0,random,0.8,1142904.0,16.42,6879.20246782,0.586428571429,6879.78889639,6879.26111068,6879.2083321
0,random,0.9,2602160.0,17.93,12767.214393,0.640357142857,12767.8547501,12767.2784287,12767.2207965
1,random,0.3,1229.0,8.69,192251.762822,0.321851851852,192252.084673,192251.795007,192251.76604
1,random,0.4,8887.0,9.62,3686.25519495,0.356296296296,3686.61149125,3686.29082458,3686.25875791
1,random,0.5,43120.0,10.24,91750.4707422,0.379259259259,91750.8500015,91750.5086681,91750.4745348
1,random,0.6,151366.0,11.17,9383.1006421,0.413703703704,9383.51434581,9383.14201248,9383.10477914
1,random,0.7,444668.0,12.11,7317.46375933,0.448518518519,7317.91227785,7317.50861118,7317.46824452
1,random,0.8,1137598.0,13.7,24972.4086196,0.507407407407,24972.916027,24972.4593604,24972.4136937
1,random,0.9,2588481.0,14.91,15774.6332177,0.552222222222,15775.18544,15774.68844,15774.63874
2,random,0.3,1195.0,8.13,62835.8287809,0.312692307692,62836.1414732,62835.8600501,62835.8319078
2,random,0.4,8981.0,9.31,78251.0621238,0.358076923077,78251.4202007,78251.0979315,78251.0657046
2,random,0.5,42659.0,8.87,58137.7662429,0.341153846154,58138.1073967,58137.8003582,58137.7696544
2,random,0.6,152851.0,9.75,68370.2511314,0.375,68370.6261314,68370.2886314,68370.2548814
2,random,0.7,443353.0,11.13,1747.46124504,0.428076923077,1747.88932196,1747.50405273,1747.46552581
2,random,0.8,1137384.0,11.22,48933.0175101,0.431538461538,48933.4490485,48933.0606639,48933.0218255
2,random,0.9,2578863.0,12.73,20672.3739385,0.489615384615,20672.8635539,20672.4229001,20672.3788347
3,random,0.3,1188.0,15.24,116550.363522,0.227462686567,116550.590984,116550.386268,116550.365796
3,random,0.4,9192.0,16.43,58505.306318,0.245223880597,58505.5515419,58505.3308404,58505.3087702
3,random,0.5,43505.0,19.26,18062.8053024,0.287462686567,18063.0927651,18062.8340487,18062.808177
3,random,0.6,154423.0,23.54,23362.5663852,0.351343283582,23362.9177284,23362.6015195,23362.5698986
3,random,0.7,453595.0,27.65,21903.2831616,0.412686567164,21903.6958482,21903.3244303,21903.2872885
3,random,0.8,1157419.0,35.88,3322.68398579,0.53552238806,3323.21950818,3322.73753803,3322.68934102
3,random,0.9,2641859.0,36.67,4601.6552395,0.547313432836,4602.20255293,4601.70997084,4601.66071263
4,random,0.3,1206.0,10.44,23890.1309705,0.29,23890.4209705,23890.1599705,23890.1338705
4,random,0.4,8983.0,9.89,9434.05878432,0.274722222222,9434.33350654,9434.08625654,9434.06153154
4,random,0.5,42593.0,12.15,39147.6339675,0.3375,39147.9714675,39147.6677175,39147.6373425
4,random,0.6,154176.0,13.79,26561.4774613,0.383055555556,26561.8605168,26561.5157668,26561.4812918
4,random,0.7,446334.0,15.68,51073.6014455,0.435555555556,51074.037001,51073.645001,51073.605801
4,random,0.8,1144613.0,17.84,5562.35010228,0.495555555556,5562.84565784,5562.39965784,5562.35505784
4,random,0.9,2607012.0,21.21,9452.80578175,0.589166666667,9453.39494842,9452.86469842,9452.81167342
5,random,0.2,69.0,7.74,35923.7746061,0.297692307692,35924.0722984,35923.8043754,35923.7775831
5,random,0.3,1179.0,8.68,166230.610768,0.333846153846,166230.944614,166230.644152,166230.614106
5,random,0.4,9232.0,8.81,73931.8881558,0.338846153846,73932.2270019,73931.9220404,73931.8915442
5,random,0.5,43669.0,9.76,30095.7088553,0.375384615385,30096.0842399,30095.7463938,30095.7126092
5,random,0.6,157609.0,10.83,81051.4065107,0.416538461538,81051.8230492,81051.4481645,81051.4106761
5,random,0.7,463458.0,11.37,88647.3302847,0.437307692308,88647.7675924,88647.3740155,88647.3346578
5,random,0.8,1161438.0,11.77,6992.08175856,0.452692307692,6992.53445086,6992.12702779,6992.08628548
5,random,0.9,2657658.0,14.53,28777.1197178,0.558846153846,28777.6785639,28777.1756024,28777.1253062
6,random,0.3,1250.0,13.4,147065.339729,0.248148148148,147065.587877,147065.364544,147065.34221
6,random,0.4,9281.0,15.5,94505.925907,0.287037037037,94506.2129441,94505.9546107,94505.9287774
6,random,0.5,43511.0,17.59,897.387139718,0.325740740741,897.712880459,897.419713792,897.390397125
6,random,0.6,154860.0,21.3,25760.3362673,0.394444444444,25760.7307117,25760.3757117,25760.3402117
6,random,0.7,455988.0,25.07,10871.297257,0.464259259259,10871.7615163,10871.343683,10871.3018996
6,random,0.8,1165290.0,30.56,16206.1217305,0.565925925926,16206.6876564,16206.1783231,16206.1273898
6,random,0.9,2638355.0,36.26,20642.2870057,0.671481481481,20642.9584872,20642.3541538,20642.2937205
7,random,0.3,1188.0,13.55,66780.3635216,0.26568627451,66780.6292079,66780.3900902,66780.3661784
7,random,0.4,9087.0,15.17,44651.6539939,0.297450980392,44651.9514448,44651.683739,44651.6569684
7,random,0.5,42989.0,17.74,2250.76729446,0.347843137255,2251.1151376,2250.80207878,2250.77077289
7,random,0.6,153461.0,21.06,7780.39561485,0.412941176471,7780.80855603,7780.43690897,7780.39974427
7,random,0.7,451205.0,24.14,1056.9631917,0.473333333333,1057.43652504,1057.01052504,1056.96792504
7,random,0.8,1149884.0,28.97,10589.4795166,0.568039215686,10590.0475559,10589.5363206,10589.485197
7,random,0.9,2615119.0,37.55,1458.33780748,0.736274509804,1459.07408199,1458.41143493,1458.34517023
8,random,0.3,1281.0,15.12,237979.191354,0.229090909091,237979.420445,237979.214263,237979.193645
8,random,0.4,9329.0,24.09,73733.0241123,0.365,73733.3891123,73733.0606123,73733.0277623
8,random,0.5,43842.0,29.18,6891.5148358,0.442121212121,6891.95695701,6891.55904792,6891.51925701
8,random,0.6,157090.0,25.5,3632.03710299,0.386363636364,3632.42346663,3632.07573936,3632.04096663
8,random,0.7,458534.0,31.4,29917.7117522,0.475757575758,29918.1875098,29917.7593279,29917.7165098
9,random,0.3,1190.0,10.08,55881.308578,0.325161290323,55881.6337393,55881.3410941,55881.3118296
9,random,0.4,8828.0,10.01,110469.688406,0.322903225806,110470.011309,110469.720696,110469.691635
9,random,0.5,43188.0,10.41,29360.0648983,0.335806451613,29360.4007048,29360.098479,29360.0682564
9,random,0.6,152873.0,11.71,26859.9066201,0.377741935484,26860.2843621,26859.9443943,26859.9103975
9,random,0.7,451861.0,13.28,8698.92136885,0.428387096774,8699.34975595,8698.96420756,8698.92565273
9,random,0.8,1146011.0,14.74,6024.49603147,0.475483870968,6024.97151534,6024.54357985,6024.5007863
9,random,0.9,2624565.0,16.77,20080.8055853,0.540967741935,20081.346553,20080.859682,20080.8109949
10,random,0.3,1155.0,11.23,315965.27009,0.295526315789,315965.565617,315965.299643,315965.273046
10,random,0.4,9244.0,12.09,40453.1627071,0.318157894737,40453.480865,40453.1945229,40453.1658887
10,random,0.5,44016.0,13.68,33448.358446,0.36,33448.718446,33448.394446,33448.362046
10,random,0.6,156209.0,14.47,9452.19112088,0.380789473684,9452.57191035,9452.22919982,9452.19492877
10,random,0.7,460040.0,15.42,6532.83725422,0.405789473684,6533.24304369,6532.87783316,6532.84131211
10,random,0.8,1177188.0,19.51,41193.7638868,0.513421052632,41194.2773079,41193.8152289,41193.769021
10,random,0.9,2665807.0,23.52,5041.2787806,0.618947368421,5041.89772797,5041.34067534,5041.28497007
11,random,0.2,72.0,12.34,313588.112632,0.251836734694,313588.364469,313588.137816,313588.115151
11,random,0.3,1192.0,12.97,71099.2536344,0.264693877551,71099.5183283,71099.2801038,71099.2562814
11,random,0.4,8929.0,15.5,73569.7942653,0.316326530612,73570.1105918,73569.825898,73569.7974286
11,random,0.5,42439.0,17.31,90135.5677915,0.353265306122,90135.9210568,90135.6031181,90135.5713242
11,random,0.6,154347.0,19.93,1223.52402913,0.406734693878,1223.93076382,1223.5647026,1223.52809648
11,random,0.7,454119.0,23.11,11725.1429203,0.471632653061,11725.6145529,11725.1900835,11725.1476366
11,random,0.8,1144846.0,29.67,35868.5410905,0.605510204082,35869.1466007,35868.6016415,35868.5471456
11,random,0.9,2629248.0,34.41,5558.36195919,0.702244897959,5559.06420409,5558.43218368,5558.36898164
12,random,0.3,1177.0,12.15,76078.6657112,0.247959183673,76078.9136704,76078.6905071,76078.6681908
12,random,0.4,8941.0,13.88,3162.51971397,0.283265306122,3162.80297928,3162.5480405,3162.52254662
12,random,0.5,42708.0,14.76,7189.51791416,0.301224489796,7189.81913865,7189.54803661,7189.52092641
12,random,0.6,152591.0,17.33,1954.29728552,0.353673469388,1954.65095899,1954.33265287,1954.30082226
12,random,0.7,445934.0,20.72,24193.3847141,0.422857142857,24193.8075713,24193.4269998,24193.3889427
12,random,0.8,1135663.0,23.91,16432.940899,0.487959183673,16433.4288582,16432.9896949,16432.9457786
12,random,0.9,2593348.0,28.28,6260.63992513,0.577142857143,6261.21706799,6260.69763941,6260.64569656
13,random,0.3,1192.0,13.66,123947.253634,0.248363636364,123947.501998,123947.278471,123947.256118
13,random,0.4,9006.0,14.52,79760.4492276,0.264,79760.7132276,79760.4756276,79760.4518676
13,random,0.5,43549.0,17.22,1905.9278907,0.313090909091,1906.24098161,1905.95919979,1905.93102161
13,random,0.6,155457.0,19.65,12176.9807058,0.357272727273,12177.3379786,12177.0164331,12176.9842786
13,random,0.7,458887.0,23.6,16579.2794824,0.429090909091,16579.7085733,16579.3223915,16579.2837733
13,random,0.8,1162647.0,27.01,4004.48435617,0.491090909091,4004.97544708,4004.53346526,4004.48926708
13,random,0.9,2657009.0,31.93,10672.0836113,0.580545454545,10672.6641567,10672.1416658,10672.0894167
14,random,0.3,1253.0,15.66,129573.422144,0.261,129573.683144,129573.448244,129573.424754
14,random,0.4,9332.0,18.54,94293.8427502,0.309,94294.1517502,94293.8736502,94293.8458402
14,random,0.5,43496.0,22.91,32124.0674535,0.381833333333,32124.4492869,32124.1056369,32124.0712719
14,random,0.6,155179.0,26.93,45538.6236641,0.448833333333,45539.0724974,45538.6685474,45538.6281524
14,random,0.7,459754.0,33.55,3589.67721714,0.559166666667,3590.23638381,3589.73313381,3589.68280881
14,random,0.8,1167348.0,42.56,5115.19180474,0.709333333333,5115.90113807,5115.26273807,5115.19889807
14,random,0.9,2658780.0,45.45,9112.27548795,0.7575,9113.03298795,9112.35123795,9112.28306295
